Adresse,Nom,Type,Commentaire,Adresse_ABS,Categorie
134.0,_07_Temp_Diesel_water_R,REAL,Température moteur diesel radiateur à eau Groupe électrogène diesel,%DB102.DBD134,Télémesure
138.0,_11_H_height_limit_POS_R,REAL,Hauteur de levage admissible pour le levage calculée Méc. levage 1 / Méc. retenue,%DB102.DBD138,Télémesure
142.0,_11_H_height_limit_NEG_R,REAL,Hauteur de levage admissible calculé e pour la descente Méc. levage 1 / Méc. retenue,%DB102.DBD142,Télémesure
146.0,_11_H_height_perm_cent_R,REAL,Hauteur de levage admissible en pour centage Méc. levage 1 / Méc. retenue,%DB102.DBD146,Télémesure
150.0,_11_H_limit_POS_1_R,REAL,Montée: présélection hauteur de levage point final 1 P DWON Méc. levage 1 / Méc. retenue,%DB102.DBD150,Télémesure
154.0,_11_H_limit_NEG_1_R,REAL,Descente: sélection hauteur de levag e point cible 1 w C mw Méc. levage 1 / Méc. retenue,%DB102.DBD154,Télémesure
158.0,_11_H_limit_POS_2_R,REAL,Montée: présélection hauteur w de levage point final 2 Méc. levage 1 / Méc. retenue,%DB102.DBD158,Télémesure
162.0,_11_H_limit_NEG_2_R,REAL,Descente: sélection hauteur de levag e point cible 2 Méc. levage 1 / Méc. retenue,%DB102.DBD162,Télémesure
166.0,_11_H_limit_hoist_perc_R,REAL,Limitation de la hauteur de levage : limitation levage en pourcentage Méc. levage 1 / Méc. retenue,%DB102.DBD166,Télémesure
170.0,_11_H_limit_lower_perc_R,REAL,Limitation de la hauteur de levage : limitation descente en pourcentage Méc. levage 1 / Méc. retenue,%DB102.DBD170,Télémesure
174.0,_11_MS1_X_R,REAL,Ordre: lire et adapter valeur de con signe Méc. levage 1 / Méc. retenue 1,%DB102.DBD174,Télémesure
178.0,_11_MS1_Y_R,REAL,Ordre: lire et adapter valeur de con signe Méc. levage 1 / Méc. retenue 2,%DB102.DBD178,Télémesure
182.0,_11_MS2_Y_R,REAL,Réduire valeur de consigne vitesse pour réduction puissance Méc. levage 1 / Méc. retenue,%DB102.DBD182,Téléréglage
186.0,_11_MS3_Y_R,REAL,Calculer valeur consigne vitesse rot ation du méc. levage suivant la charge Méc. levage 1 / Méc. retenue,%DB102.DBD186,Téléréglage
190.0,_11_MS4_Y_R,REAL,Appliquer val. pré-fin de course et val. cons. commande par à-coups Méc. levage 1 / Méc. retenue,%DB102.DBD190,Télémesure
194.0,_11_MS5_Y_R,REAL,Impulsion changement de vitesse rédu cteur du méc. de levage Méc. levage 1 / Méc. retenue,%DB102.DBD194,Télémesure
198.0,_11_MS6_Y_R,REAL,Impulsion de démarrage Méc. levage 1 / Méc. retenue,%DB102.DBD198,Télémesure
202.0,_11_MS8_Y_R,REAL,Montée / descente jusqu’au point cible valeur de consigne réduite Méc. levage 1 / Méc. retenue,%DB102.DBD202,Téléréglage
206.0,_11_N_setpoint_R,REAL,Transmission de consigne à l'entraîn ement en % Méc. levage 1 / Méc. retenue,%DB102.DBD206,Téléréglage
210.0,_11_N_ramp_actual_R,REAL,Temps réelle de générateur de rampe % Méc. levage 1 / Méc. retenue,%DB102.DBD210,Télémesure
214.0,_11_V_actual_R,REAL,Vitesse du méc. levage en m/min Méc. levage 1 / Méc. retenue,%DB102.DBD214,Télémesure
218.0,_11_N_actual_R,REAL,Valeur réelle vitesse en t/min Méc. levage 1 / Méc. retenue,%DB102.DBD218,Télémesure
222.0,_11_I_actual_R,REAL,Valeur réelle du courant en A Méc. levage 1 / Méc. retenue,%DB102.DBD222,Télémesure
226.0,_11_P_actual_R,REAL,Valeur réelle de la puissance en kW Méc. levage 1 / Méc. retenue,%DB102.DBD226,Télémesure
230.0,_11_UM_actual_R,REAL,Valeur réelle tension moteur en V Méc. levage 1 / Méc. retenue,%DB102.DBD230,Télémesure
234.0,_11_fN_actual_R,REAL,Valeur réelle de la fréquence secteu r en Hz Méc. levage 1 / Méc. retenue,%DB102.DBD234,Télémesure
