Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie,Unité
212.0,Vi_F91_34,WORD,"=91 Mot de messages défaut 34 =91.A-D0048, slot 7-0, panne station module bus Sans fonction",%DB107.DBW212,Sans fonction,Télémesure,
214.0,Vi_F91_35,WORD,"=91 Mot de messages de défaut 35 =91.A-D0048 , slot 23 - 16, slot 15 - 8 Sans fonction 1",%DB107.DBW214,Sans fonction,Télémesure,
216.0,Vi_F91_36,WORD,"=91 Mot de messages de défaut 36 =91.A-D0048 , slot 39 - 32, slot 31 - 24 Sans fonction 2",%DB107.DBW216,Sans fonction,Télémesure,
218.0,Vi_F91_37,WORD,=91 Mot de messages de défaut 37 Sans fonction 8,%DB107.DBW218,Sans fonction,Télémesure,
220.0,Vi_F91_38,WORD,=91 Mot de messages de défaut 38 Sans fonction 9,%DB107.DBW220,Sans fonction,Télémesure,
222.0,Vi_F95_00,WORD,"=95 Mot de messages de défaut 00 =95.A, bus ASI: défaut de bus Groupe électrogène diesel",%DB107.DBW222,Groupe électrogène diesel,Télémesure,
224.0,Vi_F95_01,WORD,"=95 Mot de mess.défaut 01=95.A-D060, alim. bus ASI superstr.: défaut de config. Enrouleur à câble pour amenée du courant",%DB107.DBW224,Enrouleur à câble pour amenée du courant,Télémesure,A
226.0,Vi_F95_02,WORD,"=95 Mot de messages de défaut 02, défaut Slave =95.A-D0615 à -D0600 Unité d’alimentation",%DB107.DBW226,Unité d’alimentation,Télémesure,
228.0,Vi_F95_03,WORD,=95 Mot de messages de défaut 03 défaut esclave =95.A -D0631 à -D0616 Sans fonction,%DB107.DBW228,Sans fonction,Télémesure,
230.0,Vi_F95_04,WORD,"=95 Mot mess. de défaut 04 =95.A-D070, alim. bus ASI châssis.:défaut de config. Pompes et compresseurs",%DB107.DBW230,Pompes et compresseurs,Télémesure,
232.0,Vi_F95_05,WORD,=95 Mot de messages de défaut 05 défaut esclave =95.A -D0715 à -D0700 Graissage,%DB107.DBW232,Graissage,Télémesure,
234.0,Vi_F95_06,WORD,=95 Mot de messages de défaut 06 défaut esclave =95.A -D0731 à -D0716 Eclairage 230 V,%DB107.DBW234,Eclairage 230 V,Télémesure,
236.0,Vi_F97_00,WORD,=97 Mot de messages de défaut 00 Groupe électrogène diesel 25,%DB107.DBW236,Groupe électrogène diesel,Télémesure,
238.0,Vi_91_language,INT,"0=D,1=GB,2=NL,3=F,4=DK,5=I,6=FI,7=N,8=S,9=E, 10=P,11=PL,12=TR,13=US,14=RS Commande centralisée CPU programmable",%DB107.DBW238,Commande centralisée CPU programmable,Télécommande,
240.0,Vi_51_telescop_pos,INT,"Position téléscopique du spreader: 1=20',2=3 0',3=35/40',4=40/45' Spreader",%DB107.DBW240,Spreader,Télémesure,m
242.0,Vi_11_Grab_force_perc,INT,Présélection force de traction pour benne 4 câbles en pourcentage Méc. levage 1 / Méc. retenue,%DB107.DBW242,Méc. levage 1 / Méc. retenue,Télémesure,kN
0.0,Vi_act_pic,INT,"Message de l'écran transmis à la com mande, correspond à l'état réel de l 'écran Sans fonction",%DB108.DBW0,Sans fonction,Télémesure,
2.0,Vi_set_pic,INT,Appel d'écran à partir de la command e: état valeur de consigne de l'écra n Sans fonction,%DB108.DBW2,Sans fonction,Téléréglage,
